,category_id,views,likes,dislikes,category
0,1,578137051,14106303,554537,Film & Animation
1,2,58798655,602090,38078,Autos & Vehicles
2,10,2926571857,122627437,3851443,Music
3,15,80126358,2275857,53984,Pets & Animals
4,17,552971061,11649385,680545,Sports
5,19,40277751,503010,27213,Travel & Events
6,20,190349960,6384378,554498,Gaming
7,22,560619203,21003105,1198337,People & Blogs
8,23,643597267,26909637,916801,Comedy
9,24,2264825121,59352485,6029415,Entertainment
10,25,201233985,2665669,670361,News & Politics
11,26,421480279,18252973,557794,Howto & Style
12,27,129096158,4895085,167729,Education
13,28,350161100,8943730,469776,Science & Technology
14,43,2968312,60738,1359,Shows
