,Video ID,Days Trending,Title
0,2z3EUY1aXdY,38,Justin Timberlakes FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights
1,NooW_RbfdWI,38,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD]
2,BhIEIO0vaBE,38,To Our Daughter
3,u_C4onVrr8U,38,"Miguel - Come Through and Chill ft. J. Cole, Salaam Remi"
4,tsp7IOr7Q9A,37,BHAD BHABIE feat. Lil Yachty - Gucci Flip Flops (Official Music Video) | Danielle Bregoli
5,4uTNVumfm84,37,Maroon 5 - Wait
6,Q17z9a03YaM,37,Rich Brian - Cold (Official Music Video)
7,dzxFdtWmjto,37,VENOM - Official Teaser Trailer (HD)
8,tGRzz0oqgUE,37,Janelle Monaje Make Me Feel [Official Music Video]
9,ABLsSWE06q4,37,"Whethan, Dua Lipa - High (Audio)"
